no_of_tiles_x,no_of_tiles_y,no_of_bins,median_filter_param,no_of_hid_layer_neurons,accuracy
3,3,21,3,126,0.0
3,3,21,3,252,0.0
3,3,21,3,378,0.0
3,3,21,3,504,0.0
3,3,21,3,630,0.0
3,3,21,5,126,0.0
3,3,21,5,252,0.0
3,3,21,5,378,0.0
3,3,21,5,504,0.0
3,3,21,5,630,0.0
3,3,21,7,126,0.0
3,3,21,7,252,0.0
3,3,21,7,378,0.0
3,3,21,7,504,0.0
3,3,21,7,630,0.0
3,3,21,9,126,0.0
3,3,21,9,252,0.0
3,3,21,9,378,0.0
3,3,21,9,504,0.0
3,3,21,9,630,0.0
3,3,21,11,126,0.0
3,3,21,11,252,0.0
3,3,21,11,378,0.0
3,3,21,11,504,0.0
3,3,21,11,630,0.0
3,3,42,3,252,0.0
3,3,42,3,504,0.0
3,3,42,3,756,0.0
3,3,42,3,1008,0.0
3,3,42,3,1260,0.0
3,3,42,5,252,0.0
3,3,42,5,504,0.0
3,3,42,5,756,0.0
3,3,42,5,1008,0.0
3,3,42,5,1260,0.0
3,3,42,7,252,0.0
3,3,42,7,504,0.0
3,3,42,7,756,0.0
3,3,42,7,1008,0.0
3,3,42,7,1260,0.0
3,3,42,9,252,0.0
3,3,42,9,504,0.0
3,3,42,9,756,0.0
3,3,42,9,1008,0.0
3,3,42,9,1260,0.0
3,3,42,11,252,0.0
3,3,42,11,504,0.0
3,3,42,11,756,0.0
3,3,42,11,1008,0.0
3,3,42,11,1260,0.0
3,3,84,3,504,0.0
3,3,84,3,1008,0.0
3,3,84,3,1512,0.0
3,3,84,3,2016,0.0
3,3,84,3,2520,0.0
3,3,84,5,504,0.0
3,3,84,5,1008,0.0
3,3,84,5,1512,0.0
3,3,84,5,2016,0.0
3,3,84,5,2520,0.0
3,3,84,7,504,0.0
3,3,84,7,1008,0.0
3,3,84,7,1512,0.0
3,3,84,7,2016,0.0
3,3,84,7,2520,0.0
3,3,84,9,504,0.0
3,3,84,9,1008,0.0
3,3,84,9,1512,0.0
3,3,84,9,2016,0.0
3,3,84,9,2520,0.0
3,3,84,11,504,0.0
3,3,84,11,1008,0.0
3,3,84,11,1512,0.0
3,3,84,11,2016,0.0
3,3,84,11,2520,0.0
3,3,168,3,1008,0.0
3,3,168,3,2016,0.0
3,3,168,3,3024,0.0
3,3,168,3,4032,0.0
3,3,168,3,5040,0.0
3,3,168,5,1008,0.0
3,3,168,5,2016,0.0
3,3,168,5,3024,0.0
3,3,168,5,4032,0.0
3,3,168,5,5040,0.0
3,3,168,7,1008,0.0
3,3,168,7,2016,0.0
3,3,168,7,3024,0.0
3,3,168,7,4032,0.0
3,3,168,7,5040,0.0
3,3,168,9,1008,0.0
3,3,168,9,2016,0.0
3,3,168,9,3024,0.0
3,3,168,9,4032,0.0
3,3,168,9,5040,0.0
3,3,168,11,1008,0.0
3,3,168,11,2016,0.0
3,3,168,11,3024,0.0
3,3,168,11,4032,0.0
3,3,168,11,5040,0.0
3,3,256,3,1536,0.0
3,3,256,3,3072,0.0
3,3,256,3,4608,0.0
3,3,256,3,6144,0.0
3,3,256,3,7680,0.0
3,3,256,5,1536,0.0
3,3,256,5,3072,0.0
3,3,256,5,4608,0.0
3,3,256,5,6144,0.0
3,3,256,5,7680,0.0
3,3,256,7,1536,0.0
3,3,256,7,3072,0.0
3,3,256,7,4608,0.0
3,3,256,7,6144,0.0
3,3,256,7,7680,0.0
3,3,256,9,1536,0.0
3,3,256,9,3072,0.0
3,3,256,9,4608,0.0
3,3,256,9,6144,0.0
3,3,256,9,7680,0.0
3,3,256,11,1536,0.0
3,3,256,11,3072,0.0
3,3,256,11,4608,0.0
3,3,256,11,6144,0.0
3,3,256,11,7680,0.0
3,4,21,3,126,0.0
3,4,21,3,252,0.0
3,4,21,3,378,0.0
3,4,21,3,504,0.0
3,4,21,3,630,0.0
3,4,21,5,126,0.0
3,4,21,5,252,0.0
3,4,21,5,378,0.0
3,4,21,5,504,0.0
3,4,21,5,630,0.0
3,4,21,7,126,0.0
3,4,21,7,252,0.0
3,4,21,7,378,0.0
3,4,21,7,504,0.0
3,4,21,7,630,0.0
3,4,21,9,126,0.0
3,4,21,9,252,0.0
3,4,21,9,378,0.0
3,4,21,9,504,0.0
3,4,21,9,630,0.0
3,4,21,11,126,0.0
3,4,21,11,252,0.0
3,4,21,11,378,0.0
3,4,21,11,504,0.0
3,4,21,11,630,0.0
3,4,42,3,252,0.0
3,4,42,3,504,0.0
3,4,42,3,756,0.0
3,4,42,3,1008,0.0
3,4,42,3,1260,0.0
3,4,42,5,252,0.0
3,4,42,5,504,0.0
3,4,42,5,756,0.0
3,4,42,5,1008,0.0
3,4,42,5,1260,0.0
3,4,42,7,252,0.0
3,4,42,7,504,0.0
3,4,42,7,756,0.0
3,4,42,7,1008,0.0
3,4,42,7,1260,0.0
3,4,42,9,252,0.0
3,4,42,9,504,0.0
3,4,42,9,756,0.0
3,4,42,9,1008,0.0
3,4,42,9,1260,0.0
3,4,42,11,252,0.0
3,4,42,11,504,0.0
3,4,42,11,756,0.0
3,4,42,11,1008,0.0
3,4,42,11,1260,0.0
3,4,84,3,504,0.0
3,4,84,3,1008,0.0
3,4,84,3,1512,0.0
3,4,84,3,2016,0.0
3,4,84,3,2520,0.0
3,4,84,5,504,0.0
3,4,84,5,1008,0.0
3,4,84,5,1512,0.0
3,4,84,5,2016,0.0
3,4,84,5,2520,0.0
3,4,84,7,504,0.0
3,4,84,7,1008,0.0
3,4,84,7,1512,0.0
3,4,84,7,2016,0.0
3,4,84,7,2520,0.0
3,4,84,9,504,0.0
3,4,84,9,1008,0.0
3,4,84,9,1512,0.0
3,4,84,9,2016,0.0
3,4,84,9,2520,0.0
3,4,84,11,504,0.0
3,4,84,11,1008,0.0
3,4,84,11,1512,0.0
3,4,84,11,2016,0.0
3,4,84,11,2520,0.0
3,4,168,3,1008,0.0
3,4,168,3,2016,0.0
3,4,168,3,3024,0.0
3,4,168,3,4032,0.0
3,4,168,3,5040,0.0
3,4,168,5,1008,0.0
3,4,168,5,2016,0.0
3,4,168,5,3024,0.0
3,4,168,5,4032,0.0
3,4,168,5,5040,0.0
3,4,168,7,1008,0.0
3,4,168,7,2016,0.0
3,4,168,7,3024,0.0
3,4,168,7,4032,0.0
3,4,168,7,5040,0.0
3,4,168,9,1008,0.0
3,4,168,9,2016,0.0
3,4,168,9,3024,0.0
3,4,168,9,4032,0.0
3,4,168,9,5040,0.0
3,4,168,11,1008,0.0
3,4,168,11,2016,0.0
3,4,168,11,3024,0.0
3,4,168,11,4032,0.0
3,4,168,11,5040,0.0
3,4,256,3,1536,0.0
3,4,256,3,3072,0.0
3,4,256,3,4608,0.0
3,4,256,3,6144,0.0
3,4,256,3,7680,0.0
3,4,256,5,1536,0.0
3,4,256,5,3072,0.0
3,4,256,5,4608,0.0
3,4,256,5,6144,0.0
3,4,256,5,7680,0.0
3,4,256,7,1536,0.0
3,4,256,7,3072,0.0
3,4,256,7,4608,0.0
3,4,256,7,6144,0.0
3,4,256,7,7680,0.0
3,4,256,9,1536,0.0
3,4,256,9,3072,0.0
3,4,256,9,4608,0.0
3,4,256,9,6144,0.0
3,4,256,9,7680,0.0
3,4,256,11,1536,0.0
3,4,256,11,3072,0.0
3,4,256,11,4608,0.0
3,4,256,11,6144,0.0
3,4,256,11,7680,0.0
3,5,21,3,126,0.8463432908058166
3,5,21,3,252,0.8347667217254638
3,5,21,3,378,0.8466092944145203
3,5,21,3,504,0.8586832761764527
3,5,21,3,630,0.8506998658180237
3,5,21,5,126,0.8452584087848664
3,5,21,5,252,0.8468947410583496
3,5,21,5,378,0.8520863115787506
3,5,21,5,504,0.858630633354187
3,5,21,5,630,0.8506097674369812
3,5,21,7,126,0.8438511192798615
3,5,21,7,252,0.8439601778984069
3,5,21,7,378,0.849384069442749
3,5,21,7,504,0.8494547247886658
3,5,21,7,630,0.8413101017475129
3,5,21,9,126,0.8347159922122955
3,5,21,9,252,0.8453997254371644
3,5,21,9,378,0.8387155055999755
3,5,21,9,504,0.8372375607490541
3,5,21,9,630,0.8426984369754791
3,5,21,11,126,0.8401010096073149
3,5,21,11,252,0.8411702275276184
3,5,21,11,378,0.8428207695484161
3,5,21,11,504,0.8467335224151611
3,5,21,11,630,0.8466989099979401
3,5,42,3,252,0.8359763026237488
3,5,42,3,504,0.8412233293056488
3,5,42,3,756,0.8518525421619415
3,5,42,3,1008,0.8386263608932495
3,5,42,3,1260,0.8397468090057373
3,5,42,5,252,0.8401730716228485
3,5,42,5,504,0.8401175975799561
3,5,42,5,756,0.8345362842082977
3,5,42,5,1008,0.8279928863048553
3,5,42,5,1260,0.8306059777736664
3,5,42,7,252,0.8200995683670044
3,5,42,7,504,0.821593177318573
3,5,42,7,756,0.8306069254875184
3,5,42,7,1008,0.8280995845794678
3,5,42,7,1260,0.8253973424434662
3,5,42,9,252,0.81976198554039
3,5,42,9,504,0.8228378355503082
3,5,42,9,756,0.8236898958683014
3,5,42,9,1008,0.8174148857593536
3,5,42,9,1260,0.8157785713672638
3,5,42,11,252,0.8279758214950561
3,5,42,11,504,0.8256453394889831
3,5,42,11,756,0.8210953116416931
3,5,42,11,1008,0.8349279344081879
3,5,42,11,1260,0.8240990936756134
3,5,84,3,504,0.8239023327827454
3,5,84,3,1008,0.8252190589904785
3,5,84,3,1512,0.8266424775123596
3,5,84,3,2016,0.8425737261772156
3,5,84,3,2520,0.8386263668537142
3,5,84,5,504,0.8254504501819611
3,5,84,5,1008,0.8263584673404694
3,5,84,5,1512,0.8349981129169464
3,5,84,5,2016,0.8264831662178039
3,5,84,5,2520,0.8254329144954682
3,5,84,7,504,0.8268577516078949
3,5,84,7,1008,0.8225699424743652
3,5,84,7,1512,0.8266960680484772
3,5,84,7,2016,0.8121351420879364
3,5,84,7,2520,0.8136097669601441
3,5,84,9,504,0.8172712087631225
3,5,84,9,1008,0.8268743336200715
3,5,84,9,1512,0.8105680465698242
3,5,84,9,2016,0.8240308225154876
3,5,84,9,2520,0.8200464725494385
3,5,84,11,504,0.829505455493927
3,5,84,11,1008,0.8212721586227417
3,5,84,11,1512,0.8291849195957184
3,5,84,11,2016,0.809449028968811
3,5,84,11,2520,0.8145163595676422
3,5,168,3,1008,0.8197240471839905
3,5,168,3,2016,0.8294679999351502
3,5,168,3,3024,0.8426965415477753
3,5,168,3,4032,0.8412408649921417
3,5,168,3,5040,0.8356040775775909
3,5,168,5,1008,0.822586065530777
3,5,168,5,2016,0.8256092965602875
3,5,168,5,3024,0.8293461382389069
3,5,168,5,4032,0.8359592139720917
3,5,168,5,5040,0.8171289682388305
3,5,168,7,1008,0.8145860612392426
3,5,168,7,2016,0.8291844606399537
3,5,168,7,3024,0.8210587978363038
3,5,168,7,4032,0.8268027544021607
3,5,168,7,5040,0.8332574605941773
3,5,168,9,1008,0.0
3,5,168,9,2016,0.0
3,5,168,9,3024,0.0
3,5,168,9,4032,0.0
3,5,168,9,5040,0.0
3,5,168,11,1008,0.0
3,5,168,11,2016,0.0
3,5,168,11,3024,0.0
3,5,168,11,4032,0.0
3,5,168,11,5040,0.0
3,5,256,3,1536,0.0
3,5,256,3,3072,0.0
3,5,256,3,4608,0.0
3,5,256,3,6144,0.0
3,5,256,3,7680,0.0
3,5,256,5,1536,0.0
3,5,256,5,3072,0.0
3,5,256,5,4608,0.0
3,5,256,5,6144,0.0
3,5,256,5,7680,0.0
3,5,256,7,1536,0.0
3,5,256,7,3072,0.0
3,5,256,7,4608,0.0
3,5,256,7,6144,0.0
3,5,256,7,7680,0.0
3,5,256,9,1536,0.0
3,5,256,9,3072,0.0
3,5,256,9,4608,0.0
3,5,256,9,6144,0.0
3,5,256,9,7680,0.0
3,5,256,11,1536,0.0
3,5,256,11,3072,0.0
3,5,256,11,4608,0.0
3,5,256,11,6144,0.0
3,5,256,11,7680,0.0
4,4,21,3,126,0.0
4,4,21,3,252,0.0
4,4,21,3,378,0.0
4,4,21,3,504,0.0
4,4,21,3,630,0.0
4,4,21,5,126,0.0
4,4,21,5,252,0.0
4,4,21,5,378,0.0
4,4,21,5,504,0.0
4,4,21,5,630,0.0
4,4,21,7,126,0.0
4,4,21,7,252,0.0
4,4,21,7,378,0.0
4,4,21,7,504,0.0
4,4,21,7,630,0.0
4,4,21,9,126,0.0
4,4,21,9,252,0.0
4,4,21,9,378,0.0
4,4,21,9,504,0.0
4,4,21,9,630,0.0
4,4,21,11,126,0.0
4,4,21,11,252,0.0
4,4,21,11,378,0.0
4,4,21,11,504,0.0
4,4,21,11,630,0.0
4,4,42,3,252,0.0
4,4,42,3,504,0.0
4,4,42,3,756,0.0
4,4,42,3,1008,0.0
4,4,42,3,1260,0.0
4,4,42,5,252,0.0
4,4,42,5,504,0.0
4,4,42,5,756,0.0
4,4,42,5,1008,0.0
4,4,42,5,1260,0.0
4,4,42,7,252,0.0
4,4,42,7,504,0.0
4,4,42,7,756,0.0
4,4,42,7,1008,0.0
4,4,42,7,1260,0.0
4,4,42,9,252,0.0
4,4,42,9,504,0.0
4,4,42,9,756,0.0
4,4,42,9,1008,0.0
4,4,42,9,1260,0.0
4,4,42,11,252,0.0
4,4,42,11,504,0.0
4,4,42,11,756,0.0
4,4,42,11,1008,0.0
4,4,42,11,1260,0.0
4,4,84,3,504,0.0
4,4,84,3,1008,0.0
4,4,84,3,1512,0.0
4,4,84,3,2016,0.0
4,4,84,3,2520,0.0
4,4,84,5,504,0.0
4,4,84,5,1008,0.0
4,4,84,5,1512,0.0
4,4,84,5,2016,0.0
4,4,84,5,2520,0.0
4,4,84,7,504,0.0
4,4,84,7,1008,0.0
4,4,84,7,1512,0.0
4,4,84,7,2016,0.0
4,4,84,7,2520,0.0
4,4,84,9,504,0.0
4,4,84,9,1008,0.0
4,4,84,9,1512,0.0
4,4,84,9,2016,0.0
4,4,84,9,2520,0.0
4,4,84,11,504,0.0
4,4,84,11,1008,0.0
4,4,84,11,1512,0.0
4,4,84,11,2016,0.0
4,4,84,11,2520,0.0
4,4,168,3,1008,0.0
4,4,168,3,2016,0.0
4,4,168,3,3024,0.0
4,4,168,3,4032,0.0
4,4,168,3,5040,0.0
4,4,168,5,1008,0.0
4,4,168,5,2016,0.0
4,4,168,5,3024,0.0
4,4,168,5,4032,0.0
4,4,168,5,5040,0.0
4,4,168,7,1008,0.0
4,4,168,7,2016,0.0
4,4,168,7,3024,0.0
4,4,168,7,4032,0.0
4,4,168,7,5040,0.0
4,4,168,9,1008,0.0
4,4,168,9,2016,0.0
4,4,168,9,3024,0.0
4,4,168,9,4032,0.0
4,4,168,9,5040,0.0
4,4,168,11,1008,0.0
4,4,168,11,2016,0.0
4,4,168,11,3024,0.0
4,4,168,11,4032,0.0
4,4,168,11,5040,0.0
4,4,256,3,1536,0.0
4,4,256,3,3072,0.0
4,4,256,3,4608,0.0
4,4,256,3,6144,0.0
4,4,256,3,7680,0.0
4,4,256,5,1536,0.0
4,4,256,5,3072,0.0
4,4,256,5,4608,0.0
4,4,256,5,6144,0.0
4,4,256,5,7680,0.0
4,4,256,7,1536,0.0
4,4,256,7,3072,0.0
4,4,256,7,4608,0.0
4,4,256,7,6144,0.0
4,4,256,7,7680,0.0
4,4,256,9,1536,0.0
4,4,256,9,3072,0.0
4,4,256,9,4608,0.0
4,4,256,9,6144,0.0
4,4,256,9,7680,0.0
4,4,256,11,1536,0.0
4,4,256,11,3072,0.0
4,4,256,11,4608,0.0
4,4,256,11,6144,0.0
4,4,256,11,7680,0.0
3,7,21,3,126,0.0
3,7,21,3,252,0.0
3,7,21,3,378,0.0
3,7,21,3,504,0.0
3,7,21,3,630,0.0
3,7,21,5,126,0.0
3,7,21,5,252,0.0
3,7,21,5,378,0.0
3,7,21,5,504,0.0
3,7,21,5,630,0.0
3,7,21,7,126,0.0
3,7,21,7,252,0.0
3,7,21,7,378,0.0
3,7,21,7,504,0.0
3,7,21,7,630,0.0
3,7,21,9,126,0.0
3,7,21,9,252,0.0
3,7,21,9,378,0.0
3,7,21,9,504,0.0
3,7,21,9,630,0.0
3,7,21,11,126,0.0
3,7,21,11,252,0.0
3,7,21,11,378,0.0
3,7,21,11,504,0.0
3,7,21,11,630,0.0
3,7,42,3,252,0.0
3,7,42,3,504,0.0
3,7,42,3,756,0.0
3,7,42,3,1008,0.0
3,7,42,3,1260,0.0
3,7,42,5,252,0.0
3,7,42,5,504,0.0
3,7,42,5,756,0.0
3,7,42,5,1008,0.0
3,7,42,5,1260,0.0
3,7,42,7,252,0.0
3,7,42,7,504,0.0
3,7,42,7,756,0.0
3,7,42,7,1008,0.0
3,7,42,7,1260,0.0
3,7,42,9,252,0.0
3,7,42,9,504,0.0
3,7,42,9,756,0.0
3,7,42,9,1008,0.0
3,7,42,9,1260,0.0
3,7,42,11,252,0.0
3,7,42,11,504,0.0
3,7,42,11,756,0.0
3,7,42,11,1008,0.0
3,7,42,11,1260,0.0
3,7,84,3,504,0.0
3,7,84,3,1008,0.0
3,7,84,3,1512,0.0
3,7,84,3,2016,0.0
3,7,84,3,2520,0.0
3,7,84,5,504,0.0
3,7,84,5,1008,0.0
3,7,84,5,1512,0.0
3,7,84,5,2016,0.0
3,7,84,5,2520,0.0
3,7,84,7,504,0.0
3,7,84,7,1008,0.0
3,7,84,7,1512,0.0
3,7,84,7,2016,0.0
3,7,84,7,2520,0.0
3,7,84,9,504,0.0
3,7,84,9,1008,0.0
3,7,84,9,1512,0.0
3,7,84,9,2016,0.0
3,7,84,9,2520,0.0
3,7,84,11,504,0.0
3,7,84,11,1008,0.0
3,7,84,11,1512,0.0
3,7,84,11,2016,0.0
3,7,84,11,2520,0.0
3,7,168,3,1008,0.0
3,7,168,3,2016,0.0
3,7,168,3,3024,0.0
3,7,168,3,4032,0.0
3,7,168,3,5040,0.0
3,7,168,5,1008,0.0
3,7,168,5,2016,0.0
3,7,168,5,3024,0.0
3,7,168,5,4032,0.0
3,7,168,5,5040,0.0
3,7,168,7,1008,0.0
3,7,168,7,2016,0.0
3,7,168,7,3024,0.0
3,7,168,7,4032,0.0
3,7,168,7,5040,0.0
3,7,168,9,1008,0.0
3,7,168,9,2016,0.0
3,7,168,9,3024,0.0
3,7,168,9,4032,0.0
3,7,168,9,5040,0.0
3,7,168,11,1008,0.0
3,7,168,11,2016,0.0
3,7,168,11,3024,0.0
3,7,168,11,4032,0.0
3,7,168,11,5040,0.0
3,7,256,3,1536,0.0
3,7,256,3,3072,0.0
3,7,256,3,4608,0.0
3,7,256,3,6144,0.0
3,7,256,3,7680,0.0
3,7,256,5,1536,0.0
3,7,256,5,3072,0.0
3,7,256,5,4608,0.0
3,7,256,5,6144,0.0
3,7,256,5,7680,0.0
3,7,256,7,1536,0.0
3,7,256,7,3072,0.0
3,7,256,7,4608,0.0
3,7,256,7,6144,0.0
3,7,256,7,7680,0.0
3,7,256,9,1536,0.0
3,7,256,9,3072,0.0
3,7,256,9,4608,0.0
3,7,256,9,6144,0.0
3,7,256,9,7680,0.0
3,7,256,11,1536,0.0
3,7,256,11,3072,0.0
3,7,256,11,4608,0.0
3,7,256,11,6144,0.0
3,7,256,11,7680,0.0
